potential(mV),background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
-0.146670051960954,0,0,1,1,1,19,1
-0.118046352871922,0,0,1,1,1,19,1
-0.11903337697904,0,0,1,1,1,19,1
-0.10570855152915,0,0,1,1,1,19,1
-0.114591768496657,0,0,1,1,1,19,1
-0.10965664795961,0,0,1,1,1,19,1
-0.111630696174565,0,0,1,1,1,19,1
-0.0933707501791496,0,0,1,1,1,19,1
-0.088929141691322,0,0,1,1,1,19,1
-0.0548768099174226,0,0,1,1,1,19,1
-0.0504352014205609,0,0,1,1,1,19,1
-0.0277336468634237,0,0,1,1,1,19,1
-0.0292141830311134,0,0,1,1,1,19,1
-0.0237855504156093,0,0,1,1,1,19,1
-0.021811502191349,0,0,1,1,1,19,1
-0.0321752553661008,0,0,1,1,1,19,1
-0.0178634057421174,0,0,1,1,1,19,1
-0.00700614050176762,0,0,1,1,1,19,1
0.00434463680291808,0,0,1,1,1,19,1
0.00533166091676129,0,0,1,1,1,19,1
0.0132278538297972,0,0,1,1,1,19,1
0.0191499985172823,0,0,1,1,1,19,1
0.010760293544033,0,0,1,1,1,19,1
0.00977326942983936,0,0,1,1,1,19,1
0.0127343417726116,1,0,0,1,1,19,1
0.0206305346895213,1,0,0,1,1,19,1
0.0181629744025384,1,0,0,1,1,19,1
0.0235916070344429,1,0,0,1,1,19,1
0.0250721432071259,1,0,0,1,1,19,1
0.0166824382305455,1,0,0,1,1,19,1
0.0305007758415829,1,0,0,1,1,19,1
0.0117473176582905,1,0,0,1,1,19,1
0.0319813120149677,1,0,0,1,1,19,1
0.0270461914376039,1,0,0,1,1,19,1
0.0329683361306428,1,0,0,1,1,19,1
0.0216175588044285,1,0,0,1,1,19,1
0.0250721432071259,1,0,0,1,1,19,1
0.0206305346895213,1,0,0,1,1,19,1
0.0245786311495486,1,0,0,1,1,19,1
0.0186564864599026,1,0,0,1,1,19,1
0.0181629744025384,1,0,0,1,1,19,1
0.0161889261732471,1,0,0,1,1,19,1
0.0156954141159651,1,0,0,1,1,19,1
0.0221110708619072,1,0,0,1,1,19,1
0.0235916070344429,1,0,0,1,1,19,1
